open_time,open,high,low,close,volume
2025-06-17 04:25:00,365.04,365.09,364.40,364.86,96405.25762
2025-06-17 04:26:00,364.91,364.91,363.72,364.15,72003.69106
2025-06-17 04:27:00,364.15,364.41,363.78,364.10,91483.72280
2025-06-17 04:28:00,364.04,365.02,364.04,364.84,78806.56523
2025-06-17 04:29:00,364.82,365.16,364.34,365.16,60542.13660
2025-06-17 04:30:00,365.17,366.00,364.78,366.00,322142.86776
2025-06-17 04:31:00,366.00,366.33,365.30,366.26,334763.19119
2025-06-17 04:32:00,366.21,368.17,366.04,368.00,489160.69571
2025-06-17 04:33:00,368.01,369.49,367.93,369.16,493811.92295
2025-06-17 04:34:00,369.03,369.52,368.65,369.00,632790.95970
2025-06-17 04:35:00,369.00,369.21,367.88,369.00,652896.40181
2025-06-17 04:36:00,369.00,369.35,367.84,367.84,418102.41174
2025-06-17 04:37:00,367.83,368.12,366.72,367.69,244442.80808
2025-06-17 04:38:00,367.69,368.54,367.23,367.52,107742.34225
2025-06-17 04:39:00,367.53,368.17,367.38,367.62,87867.03601
2025-06-17 04:40:00,367.61,367.76,366.74,367.62,99761.38548
2025-06-17 04:41:00,367.57,367.74,366.75,367.74,100903.93937
2025-06-17 04:42:00,367.72,367.80,366.96,367.22,89843.28954
2025-06-17 04:43:00,367.26,367.89,367.26,367.65,62756.90894
2025-06-17 04:44:00,367.68,367.74,366.86,367.23,51360.37455
2025-06-17 04:45:00,367.20,367.20,366.64,366.92,58863.65976
2025-06-17 04:46:00,366.93,367.04,366.36,366.62,57384.59895
2025-06-17 04:47:00,366.69,367.53,366.69,367.39,48816.19815
2025-06-17 04:48:00,367.44,367.55,366.26,366.64,50283.36580
2025-06-17 04:49:00,366.64,367.82,366.64,367.81,83037.24153
2025-06-17 04:50:00,367.82,368.16,367.63,367.96,85683.20019
2025-06-17 04:51:00,367.96,368.55,367.96,368.45,135062.65258
2025-06-17 04:52:00,368.38,368.73,368.32,368.62,101806.72417
2025-06-17 04:53:00,368.62,368.82,367.39,367.43,173581.01565
2025-06-17 04:54:00,367.42,368.38,367.15,368.02,152757.25721
2025-06-17 04:55:00,367.98,368.29,367.46,368.10,108549.19460
